MSTRG.26179	1+0-	multi_mus_PRJNA398031_4
MSTRG.31925	1+0-	multi_mus_PRJNA398031_4
MSTRG.33766	0+1-	multi_mus_PRJNA398031_4
MSTRG.7217	1+0-	multi_mus_PRJNA398031_4
MSTRG.2185	1+0-	multi_mus_PRJNA398031_4
Zfp710	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.12607	1+0-	multi_mus_PRJNA398031_4
MSTRG.10621	0+1-	multi_mus_PRJNA398031_4
MSTRG.1444	1+0-	multi_mus_PRJNA398031_4
Snrpb	0+1-	multi_mus_PRJNA398031_4
MSTRG.11867	0+1-	multi_mus_PRJNA398031_4
MSTRG.22124	0+1-	multi_mus_PRJNA398031_4
MSTRG.16370	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.2969	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.5319	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.8693	0+1-	4. PRJNA281134_4
Toe1	0+1-	multi_mus_PRJNA398031_4
MSTRG.4370	1+0-	multi_mus_PRJNA398031_4
MSTRG.7404	0+1-	9.PRJNA322294_5
Grk4	1+0-	4. PRJNA281134_4
Manea	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.5136	0+1-	multi_mus_PRJNA398031_4
MSTRG.9323	0+1-	multi_mus_PRJNA398031_4
MSTRG.18348	1+0-	multi_mus_PRJNA398031_4
Senp8	0+1-	multi_mus_PRJNA398031_4
MSTRG.18429	0+1-	multi_mus_PRJNA398031_4
MSTRG.9757	1+0-	multi_mus_PRJNA398031_4
MSTRG.8551	1+0-	5. PRJNA322593 o PRJNA323485_9
Zfp810	1+0-	multi_mus_PRJNA398031_4
MSTRG.8914	0+1-	multi_mus_PRJNA398031_4
MSTRG.29014	0+1-	multi_mus_PRJNA398031_4
Raly	0+1-	multi_mus_PRJNA398031_4
MSTRG.18459	0+1-	multi_mus_PRJNA398031_4
MSTRG.3239	0+1-	4. PRJNA281134_3
MSTRG.33855	1+0-	multi_mus_PRJNA398031_4
Lmf1	1+0-	4. PRJNA281134_4
Zfp786	0+1-	multi_mus_PRJNA398031_4
MSTRG.12377	1+0-	multi_mus_PRJNA398031_4
MSTRG.19001	1+0-	multi_mus_PRJNA398031_4
Eprs	0+1-	multi_mus_PRJNA398031_4
MSTRG.8829	0+1-	multi_mus_PRJNA398031_4
MSTRG.26808	1+0-	multi_mus_PRJNA398031_4
MSTRG.34710	1+0-	multi_mus_PRJNA398031_4
Ecd	0+1-	multi_mus_PRJNA398031_4
Mpc2	0+1-	multi_mus_PRJNA398031_4
Mir6236	1+0-	multi_mus_PRJNA398031_4
MSTRG.33072	1+0-	multi_mus_PRJNA398031_4
MSTRG.2615	0+1-	multi_mus_PRJNA398031_4
Fbxl13	1+0-	multi_mus_PRJNA398031_4
MSTRG.21788	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.18749	1+0-	multi_mus_PRJNA398031_4
Ddi2	0+1-	multi_mus_PRJNA398031_4
MSTRG.14850	1+0-	mus_PRJNA293822_27
MSTRG.18910	1+0-	multi_mus_PRJNA398031_4
Bdh2	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.6305	1+0-	multi_mus_PRJNA398031_4
Eef1a1	0+1-	multi_mus_PRJNA398031_4
MSTRG.25036	0+1-	multi_mus_PRJNA398031_4
MSTRG.4754	0+1-	4. PRJNA281134_4
MSTRG.20825	1+0-	multi_mus_PRJNA398031_4
MSTRG.13253	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.9893	0+1-	multi_mus_PRJNA398031_4
